browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1920,1080,Windows,en-US,2026-04-28_17:28:29,2026-04-28_22:58:29,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,199.696

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"33",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"3","","","","",800,48,"16.67",95565,up,933,"1",""
"29",test,RED,red,congruent,english,word,"800",left,"",left right up down,"3","","","","",800,48,"16.66",96973,left,608,"1",""
"30",test,RED,green,incongruent,english,word,"800",up,"",left right up down,"3","","","","",800,48,"16.67",99165,up,1400,"1",""
"35",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"3","","","","",800,48,"16.67",100669,down,704,"1",""
"34",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"3","","","","",800,48,"16.67",102293,right,828,"1",""
"43",test,हरा,yellow,incongruent,hindi,word,"800",right,"",left right up down,"4","","","","",800,48,"16.66",105421,right,845,"1",""
"45",test,नीला,green,incongruent,hindi,word,"800",up,"",left right up down,"4","","","","",800,48,"16.67",108061,up,1844,"1",""
"39",test,लाल,blue,incongruent,hindi,word,"800",down,"",left right up down,"4","","","","",800,48,"16.66",110109,down,1261,"1",""
"44",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"4","","","","",800,48,"16.66",111765,down,866,"1",""
"38",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"4","","","","",800,48,"16.67",113189,left,624,"1",""
"42",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"4","","","","",800,48,"16.67",114614,right,632,"0",""
"41",test,पीला,red,incongruent,hindi,word,"800",left,"",left right up down,"4","","","","",800,48,"16.67",118965,left,3549,"1",""
"40",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"4","","","","",800,48,"16.67",120694,right,928,"1",""
"49",test,पीला,blue,incongruent,hindi,word,"800",down,"",left right up down,"5","","","","",800,48,"16.67",122246,down,763,"1",""
"46",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,48,"16.67",123622,left,590,"1",""
"50",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"5","","","","",800,48,"16.66",125734,up,1318,"1",""
"48",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,48,"16.67",127894,right,1361,"1",""
"53",test,नीला,yellow,incongruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,48,"16.67",129830,right,1147,"1",""
"52",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"5","","","","",800,48,"16.67",131334,down,718,"1",""
"47",test,लाल,green,incongruent,hindi,word,"800",up,"",left right up down,"5","","","","",800,48,"16.67",134918,up,2785,"1",""
"51",test,हरा,red,incongruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,48,"16.67",136862,left,1146,"1",""
"61",test,नीला,red,incongruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.67",139198,left,1550,"1",""
"58",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",140998,up,999,"1",""
"59",test,हरा,blue,incongruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,48,"16.67",142366,down,566,"1",""
"57",test,पीला,green,incongruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",144559,up,1393,"1",""
"55",test,लाल,yellow,incongruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,48,"16.67",147566,right,2217,"1",""
"60",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,48,"16.67",148942,down,576,"1",""
"54",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.67",150294,left,561,"1",""
"56",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,48,"16.67",152478,right,1396,"1",""
"70",test,NEELA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,48,"16.67",157199,right,2399,"1",""
"64",test,LAAL,green,incongruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.67",160119,up,2119,"1",""
"66",test,PEELA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,48,"16.66",161566,down,650,"1",""
"65",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,48,"16.67",163167,right,801,"1",""
"69",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,48,"16.67",164807,down,840,"1",""
"67",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.66",168016,up,2416,"1",""
"63",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,48,"16.67",169560,left,744,"1",""
"68",test,HARA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,48,"16.66",171263,left,913,"1",""
"71",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,48,"16.67",172599,left,550,"1",""
"75",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.67",174735,up,1335,"1",""
"74",test,PEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.67",178047,up,2512,"1",""
"72",test,LAAL,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.67",179583,right,750,"1",""
"73",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.66",181520,right,1137,"1",""
"76",test,HARA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.66",183367,down,1051,"1",""
"78",test,NEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,48,"16.67",184887,left,721,"1",""
"77",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.67",187007,down,1324,"1",""
"86",test,NEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,48,"16.67",188823,up,1023,"1",""
"79",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,48,"16.67",190760,left,1144,"1",""
"84",test,HARA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,48,"16.67",192216,right,666,"1",""
"83",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,48,"16.68",194024,up,1006,"1",""
"85",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.66",195376,down,558,"1",""
"82",test,PEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,48,"16.67",196839,left,673,"1",""
"81",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,48,"16.67",198075,right,441,"1",""
"80",test,LAAL,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.67",199696,down,829,"1",""
